source,target,relation,source_name,target_name
1,2,has cpuType,cpu0,cortex-m7
1,3,has nvic,cpu0,nvic0
1,4,has cpuId,cpu0,0
1,5,has numberOfMPURegions,cpu0,16
6,2,has cpuType,cpu1,cortex-m7
6,7,has nvic,cpu1,nvic1
6,8,has cpuId,cpu1,1
6,5,has numberOfMPURegions,cpu1,16
6,9,isHalted,cpu1,true
10,2,has cpuType,cpu2,cortex-m7
10,11,has nvic,cpu2,nvic2
10,12,has cpuId,cpu2,2
10,5,has numberOfMPURegions,cpu2,16
10,9,isHalted,cpu2,true
13,2,has cpuType,cpu3,cortex-m7
14,15,cpuId,nvic3,3
14,5,numberOfMPURegions,nvic3,16
14,9,IsHalted,nvic3,true
3,16,address,nvic0,0xE000E000
3,1,cpu,nvic0,cpu0
3,17,systickFrequency,nvic0,320000000
7,16,address,nvic1,0xE000E000
7,6,cpu,nvic1,cpu1
7,17,systickFrequency,nvic1,320000000
7,16,has address,nvic1,0xE000E000
7,6,has cpu,nvic1,cpu1
7,17,has systickFrequency,nvic1,320000000
11,16,has address,nvic2,0xE000E000
11,10,has cpu,nvic2,cpu2
11,17,has systickFrequency,nvic2,320000000
14,16,has address,nvic3,0xE000E000
14,13,has cpu,nvic3,cpu3
14,17,has systickFrequency,nvic3,320000000
18,17,value,systickFrequency,320000000
19,17,frequency,dwt,320000000
20,21,size,itcm0,0x8000
19,22,address,dwt,0xE0001000
20,1,cpu,itcm0,cpu0
23,6,cpu,itcm1,cpu1
24,25,located at,sysbus,0x11400000
24,21,size,sysbus,0x8000
23,21,has size,itcm1,0x8000
23,25,has address,itcm1,0x11400000
26,21,has size,itcm2,0x8000
26,27,has address,itcm2,0x11800000
23,6,has cpu,itcm1,cpu1
26,10,has cpu,itcm2,cpu2
24,28,has address,sysbus,0x00000000
24,13,has cpu,sysbus,cpu3
24,21,has size,sysbus,0x8000
29,30,is at,program_flash,0x00400000
29,31,has size,program_flash,0x800000
32,33,is at,data_flash,0x10000000
32,34,has size,data_flash,0x20000
35,36,is at,utest,0x1B000000
35,37,has size,utest,0x2000
38,24,is at,dtcm0,sysbus
39,40,is,address,0x20000000
41,1,is,cpu,cpu0
24,42,is,sysbus,0x21000000
43,44,is,size,0x10000
38,44,has size,dtcm0,0x10000
38,40,has address,dtcm0,0x20000000
38,1,has cpu,dtcm0,cpu0
45,44,has size,dtcm1,0x10000
45,40,has address,dtcm1,0x20000000
45,6,has cpu,dtcm1,cpu1
24,40,has address,sysbus,0x20000000
24,10,has cpu,sysbus,cpu2
46,44,has size,dtcm3,0x10000
47,48,has size,sram,0xc0000
46,49,mapped at,dtcm3,0x21C00000
47,50,mapped at,sram,0x20400000
51,52,located at,quad_spi_flash,0x68000000
51,53,size,quad_spi_flash,0x8000000
54,55,located at,mscm,0x40260000
51,24,located_at,quad_spi_flash,sysbus
54,24,located_at,mscm,sysbus
56,24,located_at,siul2,sysbus
56,3,IRQ1_connected_to,siul2,nvic0
56,3,IRQ2_connected_to,siul2,nvic0
56,3,IRQ3_connected_to,siul2,nvic0
56,3,IRQ4_connected_to,siul2,nvic0
57,24,located_at,mc_me,sysbus
57,1,core0,mc_me,cpu0
57,6,core1,mc_me,cpu1
57,10,core4,mc_me,cpu2
57,13,core3,mc_me,cpu3
58,59,located at,swt0,0x40270000
58,60,connected to,swt0,nvic0@42
61,62,located at,swt1,0x4046C000
61,63,connected to,swt1,nvic0@43
64,65,located at,swt2,0x40470000
64,66,connected to,swt2,nvic0@44
67,68,located at,swt3,0x40070000
67,69,connected to,swt3,nvic0@58
70,71,located at,stm0,0x40274000
70,72,has clock frequency,stm0,48_000_000
70,73,connected to,stm0,nvic0@39
74,75,clockFrequency,Timers,48M
74,76,locatedAt,Timers,0x40474000
74,3,connectedTo,Timers,nvic0
77,72,clockFrequency,stm1,48_000_000
77,78,connected to,stm1,nvic0@40
79,72,clockFrequency,stm2,48_000_000
79,80,connected to,stm2,nvic0@41
81,72,clockFrequency,stm3,48_000_000
81,82,connected to,stm3,nvic0@57
83,84,oscillatorFrequency,pit0,12_000_000
85,86,has,pit1,oscillatorFrequency
85,24,locatedAt,pit1,sysbus
87,86,has,pit2,oscillatorFrequency
87,24,locatedAt,pit2,sysbus
88,86,has,pit3,oscillatorFrequency
88,24,locatedAt,pit3,sysbus
85,3,connectedTo,pit1,nvic0
87,3,connectedTo,pit2,nvic0
88,3,connectedTo,pit3,nvic0
74,89,located at,Timers,0x40288000
74,3,connected to,Timers,nvic0
88,84,has oscillatorFrequency,pit3,12_000_000
88,90,located at,pit3,0x40300000
88,91,connected to,pit3,nvic0@99
92,89,located at,rtc,0x40288000
92,93,connected to,rtc,nvic0@102
94,95,located at,lpi2c0,0x40350000
94,96,connected to,lpi2c0,nvic0@161
97,98,located at,lpi2c1,0x40354000
97,99,connected to,lpi2c1,nvic0@162
100,101,located at,lpspi0,0x40358000
100,102,connected to,lpspi0,nvic0@165
103,104,located at,lpspi1,0x4035C000
103,105,connected to,lpspi1,nvic0@166
106,107,located at,lpspi2,0x40360000
106,108,connected to,lpspi2,nvic0@167
109,110,located at,lpspi3,0x40364000
109,111,connected to,lpspi3,nvic0@168
112,113,located at,lpspi4,0x404BC000
112,114,connected to,lpspi4,nvic0@169
115,116,located at,lpspi5,0x404C0000
115,117,connected to,lpspi5,nvic0@170
118,119,located at,flex_io,0x40324000
118,120,has frequency,flex_io,48000000
118,121,connected to,flex_io,nvic0@139
122,123,frequency,lpuart0,24000000
122,5,fifoSize,lpuart0,16
122,3,IRQ,lpuart0,nvic0
122,124,IRQ,lpuart0,nvic0@141
125,123,frequency,lpuart1,24000000
125,5,fifoSize,lpuart1,16
125,126,IRQ,lpuart1,nvic0@142
127,123,frequency,lpuart2,24000000
127,128,fifoSize,lpuart2,4
127,129,IRQ,lpuart2,nvic0@143
130,123,frequency,lpuart3,24000000
130,128,fifoSize,lpuart3,4
130,131,IRQ,lpuart3,nvic0@144
132,123,frequency,lpuart4,24000000
132,128,fifoSize,lpuart4,4
132,133,IRQ,lpuart4,nvic0@145
134,123,frequency,lpuart5,24000000
134,128,fifoSize,lpuart5,4
134,135,IRQ,lpuart5,nvic0@146
136,123,frequency,lpuart6,24000000
136,128,fifoSize,lpuart6,4
136,137,IRQ,lpuart6,nvic0@147
138,123,frequency,lpuart7,24000000
138,128,fifoSize,lpuart7,4
138,139,IRQ,lpuart7,nvic0@148
140,123,has frequency,lpuart8,24000000
140,128,has fifoSize,lpuart8,4
140,3,has IRQ,lpuart8,nvic0
140,123,frequency,lpuart8,24000000
140,128,fifoSize,lpuart8,4
140,141,IRQ,lpuart8,nvic0@149
142,123,frequency,lpuart9,24000000
142,128,fifoSize,lpuart9,4
142,143,IRQ,lpuart9,nvic0@150
144,123,frequency,lpuart10,24000000
144,128,fifoSize,lpuart10,4
144,145,IRQ,lpuart10,nvic0@151
146,123,frequency,lpuart11,24000000
146,128,fifoSize,lpuart11,4
146,147,IRQ,lpuart11,nvic0@152
148,123,frequency,lpuart12,24000000
148,128,fifoSize,lpuart12,4
148,149,IRQ,lpuart12,nvic0@153
150,123,frequency,lpuart13,24000000
